statefp,countyfp,parcels,area_m2,area_parcels,government_parcels,ownertype_known
13,129,30095,891928710.8,30095,302,28643
13,131,15145,1169941374.9,15145,191,14338
13,133,17904,1028611162.1,17904,255,17870
13,135,305479,991449042.3,305479,1371,304472
13,137,24381,694972993.6,24381,233,23651
13,139,82357,1073903094.8,82357,345,76751
13,141,11125,1340186201.0,11125,48,10953
13,143,17140,696820590.3,17140,186,16868
13,145,21305,1168330666.9,21305,98,21110
13,147,18331,550047329.4,18331,100,18316
13,149,7011,764289463.6,7011,57,6842
13,151,94867,1127021984.4,94867,370,90799
13,153,70420,930690381.8,70420,631,70006
13,155,7065,925132788.2,7065,46,6903
13,157,44190,848474162.3,44190,392,43494
13,159,10352,941741093.4,10352,72,10254
13,161,8321,845633789.2,8321,126,8277
13,163,12019,1378046739.5,12019,205,11985
13,165,6624,890441880.4,6624,74,6578
13,167,6106,939844823.6,6106,34,6040
13,169,15705,1001752242.7,15705,110,15527
13,171,9954,462167121.9,9954,85,9722
13,173,5956,502977272.5,5956,44,5893
13,175,29185,2062344204.3,29185,244,25568
13,177,15160,914362826.3,15160,68,14971
13,179,30484,1176936511.9,30484,367,28057
13,181,8806,658022412.6,8806,25,8757
13,183,10403,984128891.9,10403,47,8963
13,185,52123,1273119159.6,52123,564,51583
13,187,18269,1301446356.5,18269,133,310
13,189,14598,756545635.9,14598,142,14509
13,191,13366,1096261522.2,13366,270,12709
13,193,8955,1123724683.0,8955,217,8770
13,195,16310,687776089.8,16310,71,16152
13,197,5589,928423412.7,5589,42,5430
13,199,18986,1522977722.2,18986,212,18870
13,201,4254,718520307.4,4254,75,4224
13,205,11821,1293978407.1,11821,123,11702
13,207,16286,998923945.4,16286,1,1
13,209,6174,624024539.4,6174,70,5909
13,211,12971,881008717.1,12971,136,12911
13,213,18412,880077522.4,18412,106,18211
13,215,70372,327637581.2,70372,0,0
13,217,48762,682829409.3,48762,323,48571
13,219,19323,486736666.6,19323,92,18333
13,221,9803,1140185790.0,9803,70,9732
13,223,74546,776339049.7,74546,182,73675
13,225,14150,375711206.8,14150,0,0
