sample,code,minutes_per_day
KR2009,9,11.2890
KR2009,11,12.3645
KR2009,12,3.4476
KR2009,13,5.8639
KR2009,14,1.2509
KR2009,15,11.7807
KR2009,16,6.6671
KR2009,17,13.0616
KR2009,18,33.2921
KR2009,19,15.1234
KR2009,20,19.6620
KR2009,21,11.1107
KR2009,22,0.8185
KR2009,23,3.3416
KR2009,24,12.6889
KR2009,25,3.6831
KR2009,26,2.0073
KR2009,28,13.3803
KR2009,29,3.0776
KR2009,30,6.9388
KR2009,31,2.6022
KR2009,32,4.4388
KR2009,33,19.1860
KR2009,34,11.2086
KR2009,36,0.1700
KR2009,37,2.0290
KR2009,38,0.2897
KR2009,39,48.6859
KR2009,40,1.2721
KR2009,42,11.7517
KR2009,43,16.4178
KR2009,45,0.9671
KR2009,46,1.8863
KR2009,48,33.8738
KR2009,49,9.1624
KR2009,50,2.3867
KR2009,51,0.7435
KR2009,54,1.5577
KR2009,55,15.2537
KR2009,56,12.6555
KR2009,57,0.6368
KR2009,58,0.7427
KR2009,59,107.3738
KR2009,60,11.2371
KR2009,61,16.4661
KR2009,63,38.7503
KR2009,64,7.0761
KR2009,65,0.5740
KR2009,66,5.4223
KR2009,67,18.1035
KR2009,68,28.7784
KR2009,69,0.0034
NL1975,1,2.5775
NL1975,2,507.6660
NL1975,3,0.2489
NL1975,4,49.2719
NL1975,5,5.6505
NL1975,6,77.3403
NL1975,7,113.4063
NL1975,8,8.2462
NL1975,9,2.7939
NL1975,11,6.3216
NL1975,12,6.1664
NL1975,13,2.3799
NL1975,15,10.7847
NL1975,16,8.4671
NL1975,17,4.5444
NL1975,18,29.2759
NL1975,19,30.9887
NL1975,20,32.8865
NL1975,21,15.8093
NL1975,22,13.2493
NL1975,23,2.5811
NL1975,24,24.1279
NL1975,25,3.2356
NL1975,26,2.1887
NL1975,27,6.6469
NL1975,28,10.9679
NL1975,29,1.0162
NL1975,30,8.6643
NL1975,31,0.7858
NL1975,32,11.2655
NL1975,33,17.7722
NL1975,34,3.5248
NL1975,35,0.0146
NL1975,36,2.5205
NL1975,37,2.3466
NL1975,38,1.7349
NL1975,39,13.0153
NL1975,40,9.6972
NL1975,41,0.5158
NL1975,42,5.2553
NL1975,43,6.4541
NL1975,45,0.1788
NL1975,46,13.9374
NL1975,48,76.1461
NL1975,49,25.9281
NL1975,50,12.5694
NL1975,51,0.6889
NL1975,52,3.7371
NL1975,53,1.4188
NL1975,54,16.5427
NL1975,55,11.0534
NL1975,56,52.8520
NL1975,57,6.0730
NL1975,58,11.2204
NL1975,59,86.3070
NL1975,63,14.6174
NL1975,64,3.0330
NL1975,65,2.8234
NL1975,66,2.2794
NL1975,67,15.7938
NL1975,68,20.3803
NL1975,69,0.0134
NL1980,1,0.0639
NL1980,2,506.9058
NL1980,4,52.0530
NL1980,5,5.6688
NL1980,6,80.2836
NL1980,7,110.5913
NL1980,8,6.6293
NL1980,9,3.2999
NL1980,11,6.5460
NL1980,12,6.7631
NL1980,13,4.8068
NL1980,15,8.8315
NL1980,16,9.4706
NL1980,17,6.1588
NL1980,18,30.9409
