year,recipient_age,household_member,minutes_per_recipient_day,recipient_days,n_records,comparable
2014,22,1,0.000000,6329969.8,1,true
2014,24,0,0.000000,3482033.4,1,true
2014,26,1,300.000000,5964841.4,1,true
2014,30,0,242.915355,2514222.4,1,true
2014,31,1,650.000000,18188740.6,1,true
2014,32,0,17.957442,4496228.7,1,true
2014,33,0,17.957442,4496228.7,1,true
2014,34,1,0.000000,6903534.5,1,true
2014,36,0,0.000000,3330343.3,1,true
2014,38,0,41.916617,19738322.1,3,true
2014,38,1,0.000000,15930730.5,1,true
2014,39,1,299.658324,31391135.8,2,true
2014,40,0,417.329035,6930765.5,2,true
2014,40,1,0.000000,4923626.0,1,true
2014,43,1,0.000000,25439431.5,1,true
2014,44,1,177.896265,48635818.8,3,true
2014,45,0,0.000000,26667843.0,4,true
2014,45,1,0.000000,80546201.4,4,true
2014,46,0,621.302735,5424724.7,1,true
2014,46,1,14.346438,17202435.4,2,true
2014,47,0,28.804624,25776562.5,3,true
2014,47,1,0.000000,10776529.6,1,true
2014,48,0,75.693486,13087157.2,3,true
2014,48,1,660.000000,9838397.9,1,true
2014,49,0,79.611895,32688331.5,6,true
2014,49,1,0.000000,22200598.7,2,true
2014,50,0,2.437321,42744835.8,10,true
2014,50,1,21.502052,9771724.8,2,true
2014,51,0,11.660279,26252482.3,4,true
2014,51,1,0.000000,14811453.5,2,true
2014,52,0,18.349633,37700033.9,8,true
2014,52,1,0.000000,27036467.7,2,true
2014,53,0,5.714689,100379784.4,10,true
2014,53,1,46.393951,70316774.3,3,true
2014,54,0,8.691630,63025015.8,12,true
2014,54,1,32.380427,30756880.1,3,true
2014,55,0,11.139392,81860008.0,14,true
2014,55,1,44.514206,56463890.6,2,true
2014,56,0,10.708202,64064510.3,14,true
2014,56,1,131.393334,51707640.6,5,true
2014,57,0,10.751312,109081671.3,15,true
2014,57,1,0.000000,3122461.3,1,true
2014,58,0,18.125474,179519031.6,20,true
2014,58,1,25.591924,45219950.9,4,true
2014,59,0,6.944527,151273528.0,25,true
2014,59,1,51.447492,76367515.9,6,true
2014,60,0,27.368146,247801208.5,37,true
2014,60,1,72.065867,56369926.8,5,true
2014,61,0,51.792689,275265220.9,22,true
2014,61,1,18.578129,39061903.7,4,true
2014,62,0,23.518716,260488381.7,30,true
2014,62,1,53.795255,45516176.1,6,true
2014,63,0,20.227753,272078648.8,37,true
2014,63,1,186.679757,59057031.7,5,true
2014,64,0,13.974106,219215969.7,31,true
2014,64,1,428.112696,49704635.1,4,true
2014,65,0,24.164840,491708564.3,73,true
2014,65,1,113.339931,84657593.6,8,true
2014,66,0,8.842443,364439567.6,44,true
2014,66,1,101.791770,72092443.4,8,true
2014,67,0,20.243385,419613381.4,52,true
2014,67,1,135.528541,64208958.7,5,true
2014,68,0,39.129573,476610935.9,58,true
2014,68,1,9.969974,80675411.7,6,true
2014,69,0,21.119844,339263518.6,47,true
2014,69,1,78.895501,133883441.5,12,true
2014,70,0,26.115833,977883233.7,131,true
2014,70,1,267.031217,76000446.7,9,true
2014,71,0,39.348686,351556597.8,54,true
2014,71,1,81.803407,261483780.3,19,true
2014,72,0,8.673820,490716382.4,70,true
2014,72,1,114.862403,119062103.3,11,true
2014,73,0,16.890666,430412887.6,57,true
2014,73,1,132.152091,176842116.1,12,true
2014,74,0,29.136388,542315281.1,72,true
2014,74,1,186.568597,70804279.1,5,true
2014,75,0,22.502449,788061482.6,111,true
2014,75,1,106.041989,71321948.0,8,true
2014,76,0,22.311582,526343410.6,72,true
2014,76,1,52.234837,79112078.3,8,true
2014,77,0,34.857647,466224520.7,56,true
2014,77,1,145.184708,89130526.3,10,true
2014,78,0,12.910237,759423843.2,100,true
2014,78,1,151.312847,107053827.9,9,true
2014,79,0,17.825377,643583787.9,80,true
2014,79,1,256.558765,147835688.8,14,true
2014,80,0,26.274607,3630791639.5,537,true
2014,80,1,173.993831,568025770.9,50,true
2014,85,0,23.280853,5812328493.1,761,true
2014,85,1,166.515400,689426589.3,55,true
2015,1,0,0.000000,3117540.1,1,true
2015,17,0,20.000000,6943712.6,1,true
2015,24,1,0.000000,35326114.4,1,true
2015,27,1,54.770198,2957949.5,1,true
2015,28,1,0.000000,3751877.1,1,true
2015,34,1,245.000000,8313789.0,1,true
2015,38,0,0.000000,16571650.8,1,true
2015,39,0,0.000000,14096428.7,2,true
2015,40,0,0.000000,31987973.3,4,true
2015,40,1,70.000000,18374290.5,1,true
2015,41,0,0.000000,2958928.0,1,true
2015,43,1,0.000000,16571650.8,1,true
2015,44,0,0.000000,22324959.3,1,true
2015,45,0,0.000000,30921022.1,2,true
2015,45,1,48.755038,10071880.3,2,true
2015,47,0,0.000000,20827696.6,3,true
2015,47,1,0.000000,23508085.9,2,true
2015,48,0,5.992267,38778890.2,5,true
2015,49,0,25.993220,48622555.8,7,true
2015,49,1,144.661583,6239421.0,2,true
2015,50,0,14.491122,106225428.3,13,true
2015,50,1,0.000000,26108755.7,2,true
2015,51,0,0.074719,41029720.3,5,true
2015,51,1,1093.000000,8024547.8,1,true
2015,52,0,67.640673,63588191.2,8,true
2015,52,1,17.411316,60130051.5,5,true
2015,53,0,1.980058,57724002.2,7,true
2015,53,1,243.537607,24939855.5,3,true
2015,54,0,8.578417,35034473.6,6,true
2015,54,1,120.000000,8024574.0,1,true
2015,55,0,14.766629,123584938.0,15,true
2015,56,0,2.802260,124028888.3,13,true
2015,56,1,12.065275,86363800.9,4,true
2015,57,0,83.901796,133017618.5,20,true
2015,57,1,745.000000,2097079.6,1,true
2015,58,0,10.717866,68824055.6,12,true
2015,58,1,61.628602,65449924.9,6,true
2015,59,0,18.483241,136816470.9,17,true
2015,59,1,151.992700,88666182.0,4,true
2015,60,0,38.847645,219855936.0,29,true
2015,61,0,9.057232,90418574.7,12,true
2015,61,1,49.006249,19573813.1,2,true
2015,62,0,17.756494,222893391.0,32,true
2015,62,1,28.504999,25549926.0,3,true
2015,63,0,7.050857,257203350.1,37,true
2015,63,1,0.000000,7541576.8,1,true
2015,64,0,19.265131,184703686.5,27,true
2015,64,1,28.983098,74478449.7,6,true
2015,65,0,9.087062,399163130.2,64,true
2015,65,1,44.547374,128243413.8,7,true
2015,66,0,40.326999,323764743.4,37,true
2015,66,1,78.843319,38432785.8,3,true
2015,67,0,13.145781,419884154.3,50,true
2015,67,1,63.465497,144184668.9,12,true
2015,68,0,8.840654,269020544.9,39,true
2015,68,1,6.114741,67773815.1,6,true
2015,69,0,13.548848,340030379.0,45,true
2015,69,1,134.673515,65140932.2,5,true
2015,70,0,26.937528,558206910.8,76,true
2015,70,1,38.425988,50248012.1,7,true
2015,71,0,4.060886,371704417.1,42,true
2015,71,1,52.194002,119397242.7,10,true
2015,72,0,19.622626,650027699.7,75,true
2015,72,1,122.019463,77162263.3,9,true
2015,73,0,30.688398,476470025.5,60,true
2015,73,1,55.786762,74528759.1,7,true
2015,74,0,29.586174,591590393.6,69,true
2015,74,1,75.305858,76083107.3,6,true
2015,75,0,23.705147,733087097.9,96,true
2015,75,1,36.900684,176352268.8,6,true
2015,76,0,30.797594,509233202.7,63,true
2015,76,1,38.018777,149026050.0,14,true
2015,77,0,56.556579,433236264.9,58,true
2015,77,1,130.269880,239477241.5,16,true
2015,78,0,10.325102,696105220.7,90,true
2015,78,1,138.104996,57813654.0,7,true
2015,79,0,14.967498,472113335.0,64,true
2015,79,1,112.012548,92803838.0,7,true
2015,80,0,24.599912,3930172099.9,426,true
2015,80,1,185.998704,582901438.5,52,true
2015,85,0,27.553562,6217841958.3,787,true
2015,85,1,189.401913,565387006.7,55,true
2016,28,0,0.000000,13318455.6,1,true
2016,30,0,0.000000,14030046.5,1,true
2016,33,0,17.237191,13963622.9,2,true
2016,35,0,0.000000,14030046.5,1,true
2016,36,0,0.000000,1675071.4,1,true
2016,37,0,173.514969,10811845.0,2,true
2016,39,0,0.000000,30479210.5,2,true
2016,40,0,6.192401,15584232.7,2,true
2016,41,1,60.000000,8300880.8,1,true
2016,42,0,0.000000,2246743.6,1,true
2016,43,0,6.891773,28504117.5,2,true
2016,43,1,6.924199,31966799.5,2,true
2016,44,1,0.000000,19938925.4,1,true
2016,45,0,0.000000,76879084.6,8,true
2016,45,1,200.000000,8582977.3,1,true
2016,46,0,0.000000,42989263.7,4,true
2016,47,1,0.000000,2740706.5,1,true
2016,48,0,139.433125,47710535.4,3,true
2016,48,1,224.229558,29667939.9,1,true
2016,50,0,7.006178,266754419.3,24,true
2016,50,1,0.000000,28377140.3,2,true
2016,51,0,0.000000,42997402.3,3,true
2016,51,1,180.000000,33206846.8,1,true
2016,52,0,15.343052,51765057.8,7,true
2016,52,1,0.000000,6567988.2,2,true
2016,53,0,104.711742,13699895.5,2,true
2016,54,0,9.893064,51655787.7,6,true
2016,54,1,281.476164,65664729.4,4,true
2016,55,0,16.703787,120385769.0,17,true
2016,55,1,498.222030,39366030.3,4,true
2016,56,0,4.847690,130800252.6,10,true
2016,56,1,313.824885,35646972.0,3,true
2016,57,0,3.934848,122355354.2,11,true
2016,57,1,0.000000,28047120.7,3,true
2016,58,0,7.897805,100654420.3,18,true
2016,58,1,0.000000,5780925.4,1,true
2016,59,0,17.223259,54736210.1,9,true
2016,59,1,19.530783,68172574.6,5,true
2016,60,0,2.501538,263156731.6,34,true
2016,60,1,20.344510,68690475.9,5,true
2016,61,0,7.613402,295878193.7,25,true
2016,61,1,397.638227,30379624.5,4,true
2016,62,0,11.019307,254924850.6,26,true
2016,62,1,53.232687,139474402.8,7,true
2016,63,0,29.882821,268555200.4,32,true
