year,tier2,mean_minutes_per_day
2009,0905,0.405828
2009,0999,0.025980
2009,1001,0.279519
2009,1002,0.048234
2009,1003,0.042713
2009,1004,0.000560
2009,1099,0.011338
2009,1101,66.307533
2009,1102,0.200226
2009,1201,37.502859
2009,1202,4.310250
2009,1203,234.685785
2009,1204,4.779007
2009,1205,0.075289
2009,1299,0.013590
2009,1301,18.506546
2009,1302,1.496247
2009,1303,0.029762
2009,1399,0.001517
2009,1401,8.717393
2009,1499,0.001416
2009,1501,2.685802
2009,1502,2.225174
2009,1503,0.437045
2009,1504,0.489097
2009,1505,1.131102
2009,1506,0.116664
2009,1599,1.969422
2009,1601,5.316033
2009,1699,1.523133
2009,1801,0.967777
2009,1802,2.798438
2009,1803,4.553490
2009,1804,3.936407
2009,1805,16.555534
2009,1806,1.781672
2009,1807,14.012402
2009,1808,2.056555
2009,1809,0.389323
2009,1810,0.161237
2009,1811,6.924195
2009,1812,10.943095
2009,1813,2.609273
2009,1814,1.213736
2009,1815,1.198853
2009,1816,0.261458
2009,1818,0.052865
2009,1899,1.533552
2009,5001,13.026490
2010,0101,519.926454
2010,0102,41.119352
2010,0103,5.461890
2010,0104,0.763617
2010,0105,0.002846
2010,0199,0.000458
2010,0201,34.418071
2010,0202,33.557620
2010,0203,3.975044
2010,0204,3.384489
2010,0205,12.701559
2010,0206,5.703318
2010,0207,2.574519
2010,0208,1.322496
2010,0209,11.526434
2010,0299,0.018531
2010,0301,21.674673
2010,0302,2.092629
2010,0303,0.496426
2010,0304,0.889498
2010,0305,0.706833
2010,0399,0.028559
2010,0401,3.937717
2010,0402,0.159232
2010,0403,0.062839
2010,0404,0.611974
2010,0405,4.234081
2010,0501,188.240591
2010,0502,0.292749
2010,0503,2.001385
2010,0504,2.779334
2010,0601,16.662549
2010,0602,0.268955
2010,0603,9.534654
2010,0604,0.148896
2010,0699,0.096778
2010,0701,22.288315
2010,0702,0.073425
2010,0801,0.024606
2010,0802,0.414091
2010,0803,0.073472
2010,0804,2.956393
2010,0805,0.953246
2010,0806,0.200075
2010,0807,0.107513
2010,0899,0.067439
2010,0901,0.030400
2010,0902,0.387330
2010,0903,0.010526
2010,0904,0.020551
2010,0905,0.462206
2010,0999,0.001350
2010,1001,0.261810
2010,1002,0.147092
2010,1003,0.121600
2010,1004,0.001810
2010,1099,0.005096
2010,1101,67.543619
2010,1102,0.171397
2010,1201,37.626239
2010,1202,4.632907
2010,1203,230.366521
2010,1204,4.915525
2010,1205,0.063416
2010,1299,0.019001
2010,1301,18.335682
2010,1302,1.657724
2010,1303,0.037606
2010,1399,0.006211
2010,1401,9.329950
2010,1499,0.008782
2010,1501,2.198380
2010,1502,2.454075
2010,1503,0.670251
2010,1504,0.547008
2010,1505,1.068845
2010,1506,0.043744
2010,1599,2.044485
2010,1601,4.868269
2010,1699,1.401360
2010,1801,0.936573
2010,1802,2.611184
2010,1803,4.656237
2010,1804,3.749996
2010,1805,16.539851
2010,1806,1.722226
2010,1807,13.727682
2010,1808,2.018618
2010,1809,0.385008
2010,1810,0.139900
2010,1811,7.008160
2010,1812,10.540909
2010,1813,2.638463
2010,1814,1.238205
2010,1815,1.087365
2010,1816,0.152798
2010,1818,0.070777
2010,1899,2.254716
2010,5001,18.524938
2011,0101,522.859598
2011,0102,41.504307
2011,0103,3.696056
2011,0104,0.339598
2011,0105,0.004876
2011,0201,34.716514
2011,0202,33.382987
2011,0203,3.680322
2011,0204,3.796043
2011,0205,11.564619
2011,0206,5.364454
2011,0207,2.600797
2011,0208,1.055346
2011,0209,10.747095
2011,0299,0.098690
2011,0301,20.686792
2011,0302,2.400947
2011,0303,0.552682
2011,0304,1.229958
2011,0305,0.761578
2011,0399,0.001819
2011,0401,4.263070
2011,0402,0.087850
2011,0403,0.167597
2011,0404,0.591668
2011,0405,3.687187
2011,0499,0.001357
2011,0501,192.262478
2011,0502,0.313893
2011,0503,2.468141
2011,0504,2.426761
2011,0599,0.014703
2011,0601,16.535447
2011,0602,0.304263
2011,0603,9.013351
2011,0604,0.250347
2011,0699,0.243221
2011,0701,22.175277
2011,0702,0.045588
2011,0801,0.041568
2011,0802,0.374728
2011,0803,0.027624
2011,0804,2.517209
2011,0805,1.090257
2011,0806,0.209779
2011,0807,0.106485
2011,0899,0.029996
2011,0901,0.041959
2011,0902,0.181281
2011,0903,0.020375
2011,0904,0.044360
2011,0905,0.388043
2011,0999,0.085558
2011,1001,0.185267
2011,1002,0.145580
2011,1003,0.020209
2011,1004,0.000116
2011,1101,67.324680
2011,1102,0.172369
2011,1201,36.791422
2011,1202,5.210267
2011,1203,232.160195
2011,1204,4.886858
2011,1205,0.041701
2011,1301,18.271664
2011,1302,1.952872
2011,1303,0.029410
2011,1399,0.004212
2011,1401,9.293822
2011,1499,0.004007
2011,1501,2.411985
2011,1502,2.050338
2011,1503,0.572178
2011,1504,0.672339
2011,1505,0.949372
2011,1506,0.188365
2011,1599,2.059601
2011,1601,4.778914
2011,1699,1.042375
2011,1801,1.135975
2011,1802,2.817155
2011,1803,4.792049
2011,1804,3.633286
2011,1805,16.647332
2011,1806,2.064628
2011,1807,13.455850
2011,1808,1.885264
2011,1809,0.364368
2011,1810,0.248050
2011,1811,6.860872
2011,1812,10.735638
2011,1813,2.554394
2011,1814,1.413699
2011,1815,1.377309
2011,1816,0.141584
2011,1818,0.272326
2011,1899,2.097074
2011,5001,15.226215
2011,5099,0.000313
2012,0101,523.831405
2012,0102,40.067227
2012,0103,3.962845
2012,0104,0.319817
2012,0201,35.993866
2012,0202,31.601020
2012,0203,3.450659
2012,0204,3.306241
2012,0205,10.960116
2012,0206,5.910113
2012,0207,2.121252
2012,0208,0.827294
2012,0209,10.588944
2012,0299,0.082790
2012,0301,21.300516
2012,0302,2.314330
2012,0303,0.609683
2012,0304,1.287403
2012,0305,0.622127
2012,0399,0.004390
2012,0401,3.588073
2012,0402,0.096327
2012,0403,0.105530
2012,0404,0.494271
2012,0405,2.990730
2012,0499,0.003262
2012,0501,191.346973
2012,0502,0.260298
2012,0503,1.509860
2012,0504,2.323247
2012,0601,16.744890
2012,0602,0.142312
