occ6,ep_employment_k,oews_median_wage,f_training,f_demand,f_scarcity,i_dependency,i_substitutability,i_harm,i_temporal,f_impact,composite,reference_multiplier,title,methodology_version,reference_epoch
131041,430.3,80730.0,0.7898363995082698,0.4613719123232307,0.25244299647575075,0.9557087107661276,0.0,0.5057125270698324,0.5747193691787134,0.46723239187489435,0.5195905951971623,2.067,Compliance Officers,mult-5.1.0,2026-07-29
131051,212.1,78740.0,0.8047323985912974,0.061447249726929574,0.17885714997070187,0.9139112916217107,0.4273793235858381,0.3650209708126368,0.8781650993791321,0.7523807315768525,0.4806481448974751,1.914,Cost Estimators,mult-5.1.0,2026-07-29
131071,1002.7,75940.0,0.8208079668983519,0.34628737450580166,0.3105438388313755,0.9852966885048167,0.3986502814198538,0.5926222820252219,0.7223541696413518,0.847503664620676,0.6067989176174,2.457,Human Resources Specialists,mult-5.1.0,2026-07-29
131074,4.2,58460.0,0.5173522195516856,0.2519549261014628,0.25871098651335306,0.14112441202477014,0.32510012637375096,0.5138922687126928,0.43158135789325647,0.015830868504962802,0.2738943118197827,1.27,Farm Labor Contractors,mult-5.1.0,2026-07-29
131075,65.4,95420.0,0.810292820990358,0.3574036031256797,0.2188453942145522,0.6570320200085678,0.3379688577024097,0.49385190168768517,0.8031974740588219,0.5567585165029588,0.5153974550471775,2.05,Labor Relations Specialists,mult-5.1.0,2026-07-29
131081,281.3,82320.0,0.7992004314575054,0.3571241534895409,0.4939524314019317,0.9754201933133979,0.11556290690792048,0.41512188837515573,0.7264212896278326,0.5683651826290564,0.5699229497472873,2.284,Logisticians,mult-5.1.0,2026-07-29
131111,1169.7,101860.0,0.8334873661731195,0.2095233551070037,0.35230160542274414,0.9085878619206237,0.31814813373974127,0.5224809974376958,0.89142380327167,0.7835840733958324,0.5687833880621936,2.279,Management Analysts,mult-5.1.0,2026-07-29
131121,163.3,61160.0,0.7791834115120874,0.3919433134803004,0.3590734392196186,0.982457618988337,0.3223946266433334,0.5296382713751985,0.4453494456032861,0.6307957649904028,0.5612544809152258,2.245,"Meeting, Convention, and Event Planners",mult-5.1.0,2026-07-29
131131,140.2,72550.0,0.8272787943502478,0.1356546925673648,0.24515587163268848,0.9142583316885782,0.41429154243363564,0.4580655320001717,0.7870098387529902,0.7568124678597569,0.5203316027383924,2.07,Fundraisers,mult-5.1.0,2026-07-29
131141,112.7,78210.0,0.8244108187619973,0.13431942177242936,0.2699330015036685,0.9719772814697908,0.33753610987274285,0.5611302767002102,0.7721143673019755,0.8065827608764621,0.5365353915915557,2.138,"Compensation, Benefits, and Job Analysis Specialists",mult-5.1.0,2026-07-29
