year,tier3,mean_minutes_per_day,label
2003,180381,3.834434,Travel related to caring for and helping hh children
2003,180382,1.361156,Travel related to caring for and helping hh adults
2003,180399,0.000290,"Travel rel. to caring for & helping hh members, n.e.c."
2003,180481,1.173284,Travel related to caring for and helping nonhh children
2003,180482,4.122224,Travel related to caring for and helping nonhh adults
2003,180499,0.009765,"Travel rel. to caring for & helping nonhh members, n.e.c."
2003,180501,15.357236,Travel related to working
2003,180502,2.034752,Travel related to work-related activities
2003,180589,0.127865,"Travel related to work, n.e.c."
2003,180601,1.841654,Travel related to taking class
2003,180682,0.325069,Travel related to education (except taking class)
2003,180699,0.013500,"Travel related to education, n.e.c."
2003,180701,3.346477,Travel related to grocery shopping
2003,180782,11.199427,Travel related to shopping (except grocery shopping)
2003,180801,0.027549,Travel related to using childcare services
2003,180802,0.660646,Travel related to using financial services and banking
2003,180803,0.045491,Travel related to using legal services
2003,180804,1.073530,Travel related to using medical services
2003,180805,0.401939,Travel related to using personal care services
2003,180806,0.159670,Travel related to using real estate services
2003,180807,0.063904,Travel related to using veterinary services
2003,180899,0.021680,"Travel rel. to using prof. & personal care services, n.e.c."
2003,180901,0.102247,Travel related to using household services
2003,180902,0.033648,Travel related to using home main./repair/decor./construction svcs
2003,180903,0.025833,Travel related to using pet services (not vet)
2003,180905,0.370049,Travel related to using vehicle maintenance & repair services
2003,180999,0.000294,"Travel related to using household services, n.e.c."
2003,181002,0.035724,Travel related to civic obligations & participation
2003,181081,0.112964,Travel related to using government services
2003,181099,0.005331,"Travel rel. to govt svcs & civic obligations, n.e.c."
2003,181101,7.140965,Travel related to eating and drinking
2003,181199,0.002563,"Travel related to eating and drinking, n.e.c."
2003,181201,6.247787,Travel related to socializing and communicating
2003,181202,1.033219,Travel related to attending or hosting social events
2003,181204,1.403722,Travel related to arts and entertainment
2003,181283,2.169736,Travel related to relaxing and leisure
2003,181299,0.024859,"Travel rel. to socializing, relaxing, & leisure, n.e.c."
2003,181301,2.292432,Travel related to participating in sports/exercise/recreation
2003,181302,0.516867,Travel related to attending sporting/recreational events
